start,relationship,end
https://dmast.eu/vc6#hasEnergyTariff,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#hasQA,domain,https://dmast.eu/vc6#Production
https://dmast.eu/vc6#id,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#Supplier,subClassOf,https://dmast.eu/vc6#Organization
https://dmast.eu/vc6#ExternalLogisticsLayer,subClassOf,https://dmast.eu/vc6#Layer
https://dmast.eu/vc6#expirationDate,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#usesTransportMode,domain,https://dmast.eu/vc6#LogisticsOperation
https://dmast.eu/vc6#dimension,range,http://www.w3.org/2001/XMLSchema#string
https://dmast.eu/vc6#ProcessStep,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#status,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#energyTariff,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#WarehouseLocation,subClassOf,http://schema.org/Place
https://dmast.eu/vc6#revenue,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#downtimeHours,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#lossReason,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#relatesToOrder,domain,https://dmast.eu/vc6#Return
https://dmast.eu/vc6#hasQA,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#LabourObservation,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#EnergyStorage,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#unitPrice,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#hasQA,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#observesProduction,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#hasBOMItem,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
